ID,Language_ID,Headword,Part_Of_Speech
347-fraatjan,Gothic,fra-atjan,Verb
348-atta,Gothic,atta,"Noun, common, masculine"
349-atwitains,Gothic,atwitains*,"Noun, common, feminine"
350-aeinim,Gothic,Aþeinim,"Noun, proper"
351-anam,Gothic,aþnam,"Noun, common"
352-aan,Gothic,aþþan,Conjunction
353-audagei,Gothic,audagei,"Noun, common, feminine"
354-audagjan,Gothic,audagjan,Verb
355-audags,Gothic,audags,Adjective
356-audahafts,Gothic,audahafts,Adjective
357-aufto,Gothic,aufto,Adverb
358-augadauro,Gothic,augadauro,"Noun, common, neuter"
359-augjan,Gothic,augjan,Verb
360-ataugjan,Gothic,at-augjan,Verb
361-augo,Gothic,augo,"Noun, common, neuter"
362-auhjodus,Gothic,auhjodus,"Noun, common, masculine"
363-auhjon,Gothic,auhjon,Verb
364-auhns,Gothic,auhns*,"Noun, common, masculine"
365-auhsa,Gothic,auhsa,"Noun, common, masculine"
366-auhsus,Gothic,auhsus,"Noun, common, masculine"
367-auhuma,Gothic,auhuma,"Adjective, Comparative"
368-auhumists,Gothic,auhumists,"Adjective, Superlative"
369-auk,Gothic,auk,Conjunction
370-aukan,Gothic,aukan,Verb
371-anaaukan,Gothic,ana-aukan,Verb
372-biaukan,Gothic,bi-aukan,Verb
373-gaaukan,Gothic,ga-aukan,Verb
374-auknan,Gothic,auknan,Verb
375-biauknan,Gothic,bi-auknan,Verb
376-auneiseifaurus,Gothic,Auneiseifaurus,"Noun, proper"
377-aunisimus,Gothic,Aunisimus,"Noun, proper"
378-aurahjom,Gothic,aurahjom,"Noun, common"
379-aurali,Gothic,aurali*,"Noun, common, neuter"
380-aurkjus,Gothic,aurkjus*,"Noun, common, masculine"
381-aurkeis,Gothic,aurkeis*,"Noun, common, masculine"
382-aurtigards,Gothic,aurtigards,"Noun, common, masculine"
383-aurtja,Gothic,aurtja,"Noun, common, masculine"
384-auso,Gothic,auso,"Noun, common, neuter"
385-auida,Gothic,auþida,"Noun, common, feminine"
386-aueis,Gothic,auþeis*,Adjective
387-aus,Gothic,auþs*,<none>
388-awei,Gothic,aweþi,"Noun, common, neuter"
389-awiliudon,Gothic,awiliudon,Verb
390-awiliu,Gothic,awiliuþ,"Noun, common, neuter"
391-awistr,Gothic,awistr*,"Noun, common, neuter"
392-awo,Gothic,awo,"Noun, common, feminine"
393-axaia,Gothic,Axaïa,<none>
394-azetjam,Gothic,azetjam,"Noun, common"
395-azets,Gothic,azets*,Adjective
396-azgo,Gothic,azgo,"Noun, common, feminine"
397-azwme,Gothic,azwme,"Noun, common"
398-ba,Gothic,-ba,"Conjunction, enclitic"
399-babawis,Gothic,Babawis,"Noun, proper"
400-badi,Gothic,badi,"Noun, common, neuter"
401-bagauis,Gothic,Bagauis,"Noun, proper"
402-bagms,Gothic,bagms,"Noun, common, masculine"
403-bai,Gothic,bai,"Numeral, other"
404-baiailzaibul,Gothic,Baiailzaibul,"Noun, proper"
405-baidjan,Gothic,baidjan,Verb
406-gabaidjan,Gothic,ga-baidjan,Verb
407-baidsaiidan,Gothic,Baidsaiïdan,<none>
408-bailiam,Gothic,Bailiam,"Noun, proper"
409-bainiamein,Gothic,Bainiamein,"Noun, proper"
410-bairabagms,Gothic,bairabagms,"Noun, common, masculine"
411-bairan,Gothic,bairan,Verb
412-atbairan,Gothic,at-bairan,Verb
413-innatbairan,Gothic,inn-atbairan,Verb
414-frabairan,Gothic,fra-bairan,Verb
415-gabairan,Gothic,ga-bairan,Verb
416-airhbairan,Gothic,þairh-bairan,Verb
417-usbairan,Gothic,us-bairan,Verb
418-utbairan,Gothic,ūt-bairan,Verb
419-bairauja,Gothic,Bairauja,"Noun, proper"
420-bairgahei,Gothic,bairgahei,"Noun, common, feminine"
421-bairgan,Gothic,bairgan,Verb
422-gabairgan,Gothic,ga-bairgan,Verb
423-bairhtei,Gothic,bairhtei,"Noun, common, feminine"
424-bairhtjan,Gothic,bairhtjan,Verb
425-gabairhtjan,Gothic,ga-bairhtjan,Verb
426-bairhts,Gothic,bairhts,Adjective
427-bairhtaba,Gothic,bairhtaba,"Adverb, Comparative"
428-baitrei,Gothic,baitrei,"Noun, common, feminine"
429-baitrs,Gothic,baitrs,Adjective
430-baiil,Gothic,Baiþil,"Noun, proper"
431-bailaem,Gothic,[Baiþlaem],<none>
432-baisaidan,Gothic,Baiþsaïdan,<none>
433-bajos,Gothic,bajoþs,"Numeral, other"
434-balgs,Gothic,balgs,"Noun, common, masculine"
435-balsagga,Gothic,†balsagga,<none>
436-balsan,Gothic,balsan,"Noun, common, neuter"
437-balaba,Gothic,balþaba,Adverb
438-balei,Gothic,balþei,"Noun, common, feminine"
