Grapheme	IPA
faþa	ɸaθa
fauho	ɸɔho
faur	ɸɔr
faura	ɸɔra
fauradauri	ɸɔraðɔrɪ
faurafilli	ɸɔraɸɪlːɪ
fauragagga	ɸɔraɣaŋɡa
fauragaggi	ɸɔraɣaŋɡɪ
fauragaggja	ɸɔraɣaŋɡja
faurahāh	ɸɔrahah
fauramaþleis	ɸɔramaθlis
fauramaþli	ɸɔramaθlɪ
fauratani	ɸɔratanɪ
faurbauhts	ɸɔrbɔhts
faurdomeins	ɸɔrdomins
faurhāh	ɸɔrhah
faurhtei	ɸɔrhti
faurhtjan	ɸɔrhtjan
faurhts	ɸɔrhts
faurlageins	ɸɔrlaɣins
faurstasseis	ɸɔrstasːis
Faurtunatus	ɸɔrtunatus
faurþis	ɸɔrθɪs
faurþizei	ɸɔrθɪzi
fawai	ɸawɛ
infeinan	ɪnɸinan
fera	ɸera
ferja	ɸerja
fetjan	ɸetjan
fian	ɸɪan
fidurdogs	ɸɪðurdoɣs
fidurfalþs	ɸɪðurɸalθs
fidurragini	ɸɪðurːaɣɪnɪ
fidwor	ɸɪðwor
fidwortaihun	ɸɪðwortɛhun
figgragulþ	ɸɪŋɡraɣulθ
figgrs	ɸɪŋɡr̥s
fijan	ɸɪjan
fijands	ɸɪjands
fijaþwa	ɸɪjaθwa
filaus	ɸɪlɔs
filegri	ɸɪleɣrɪ
Filetus	ɸɪletus
filhan	ɸɪlhan
affilhan	aɸːɪlhan
anafilhan	anaɸɪlhan
gafilhan	ɡaɸɪlhan
usfilhan	usɸɪlhan
filigri	ɸɪlɪɣrɪ
Filippai	ɸɪlɪpːɛ
Filippisius	ɸɪlɪpːɪsɪus
Filippus	ɸɪlɪpːus
filleins	ɸɪlːins
filu	ɸɪlu
filudeisei	ɸɪluðisi
filufáihs	ɸɪluɸɛhs
filugalaufs	ɸɪluɣalɔɸs
filusna	ɸɪlusna
filuwaurdei	ɸɪluwɔrdi
filuwaurdjan	ɸɪluwɔrdjan
fimf	ɸɪmɸ
fimftaihun	ɸɪmɸtɛhun
fimftataihunda	ɸɪmɸtatɛhunda
finþan	ɸɪnθan
fiskja	ɸɪskja
fiskon	ɸɪskon
fisks	ɸɪsks
fitan	ɸɪtan
flahtom	ɸlahtom
usflaugjan	usɸlɔɣjan
flautjan	ɸlɔtjan
flauts	ɸlɔts
flodus	ɸloðus
flokan	ɸlokan
fodeins	ɸoðins
fodjan	ɸoðjan
fodr	ɸoðr̥
fon	ɸon
fotubandi	ɸotuβandɪ
fotubaurd	ɸotuβɔrd
fotus	ɸotus
frabauhtaboka	ɸraβɔhtaβoka
fragan	ɸraɣan
fragifts	ɸraɣɪɸts
fraihnan	ɸrɛhnan
gafraihnan	ɡaɸrɛhnan
fraisan	ɸrɛsan
usfraisan	usɸrɛsan
fraistubni	ɸrɛstuβnɪ
fraiw	ɸrɛw
fralet	ɸralet
fralets	ɸralets
fralusts	ɸralusts
fram	ɸram
framaldrs	ɸramaldr̥s
framaþeis	ɸramaθis
framaþjan	ɸramaθjan
framgāhts	ɸramɡahts
framis	ɸramɪs
framwairþis	ɸramwɛrθɪs
framwigis	ɸramwɪɣɪs
fraqisteins	ɸrakʷɪstins
frastisibja	ɸrastɪsɪβja
frasts	ɸrasts
usfratwjan	usɸratwjan
fraþi	ɸraθɪ
fraþjamarzeins	ɸraθjamarzins
fraþjan	ɸraθjan
fullafraþjan	ɸulːaɸraθjan
frauja	ɸrɔja
fraujinassus	ɸrɔjɪnasːus
fraujinon	ɸrɔjɪnon
gafraujinon	ɡaɸrɔjɪnon
fraujinonds	ɸrɔjɪnonds
frawardeins	ɸrawardins
frawaurhts	ɸrawɔrhts
frawaurhts	ɸrawɔrhts
fraweit	ɸrawit
freidjan	ɸriðjan
freihals	ɸrihals
freis	ɸris
friaþwamildjai	ɸrɪaθwamɪldjɛ
frijaþwa	ɸrɪjaθwa
frijei	ɸrɪji
frijon	ɸrɪjon
frijondi	ɸrɪjondɪ
frijonds	ɸrɪjonds
frijons	ɸrɪjons
gafrisahtjan	ɡaɸrɪsahtjan
gafrisahtnan	ɡaɸrɪsahtnan
frisahts	ɸrɪsahts
Friþareikeis	ɸrɪθarikis
gafriþon	ɡaɸrɪθon
friusa	ɸrɪusa
frodei	ɸroði
froþs	ɸroθs
fruma	ɸruma
frumabaur	ɸrumaβɔr
frumadei	ɸrumaði
frumisti	ɸrumɪstɪ
frumists	ɸrumɪsts
frumist	ɸrumɪst
fugls	ɸuɣl̥s
fula	ɸula
fulgins	ɸulɡɪns
fulhsni	ɸulhsnɪ
fullafahjan	ɸulːaɸahjan
fullafraþjan	ɸulːaɸraθjan
fullatojis	ɸulːatojɪs
fullaweis	ɸulːawis
fullaweisjan	ɸulːawisjan
fullawita	ɸulːawɪta
fulleiþ	ɸulːiθ
fulljan	ɸulːjan
gafulljan	ɡaɸulːjan
ufarfulljan	uɸarɸulːjan
usfulljan	usɸulːjan
fullnan	ɸulːnan
gafullnan	ɡaɸulːnan
usfullnan	usɸulːnan
fullo	ɸulːo
fulls	ɸulːs
fūls	ɸuls
funins	ɸunɪns
funisks	ɸunɪsks
Fwgailus	ɸwɡɛlus
fwnikisks	ɸwnɪkɪsks
gaaggwei	ɡaaɡɡwi
gaarbja	ɡaarbja
Gabaa	ɡaβaa
Gabair	ɡaβɛr
gabairhteins	ɡaβɛrhtins
gabaur	ɡaβɔr
gabaur	ɡaβɔr
gabaurgja	ɡaβɔrɡja
gabaurjaba	ɡaβɔrjaβa
gabaurjoþus	ɡaβɔrjoθus
gabaurþiwaurd	ɡaβɔrθɪwɔrd
gabaurþs	ɡaβɔrθs
gabei	ɡaβi
gabeigs	ɡaβiɣs
gabigjan	ɡaβɪɣjan
gabignan	ɡaβɪɣnan
gabigs	ɡaβɪɣs
gabigaba	ɡaβɪɣaβa
gabinda	ɡaβɪnda
gabindi	ɡaβɪndɪ
gableiþeins	ɡaβliθins
Gabriel	ɡaβrɪel
gabruka	ɡaβruka
gabundi	ɡaβundɪ
gadaila	ɡaðɛla
gadauka	ɡaðɔka
Gaddarenus	ɡadːarenus
gadeþs	ɡaðeθs
gadigis	ɡaðɪɣɪs
gadiliggs	ɡaðɪlɪŋɡs
gadofs	ɡaðoɸs
gadrauhts	ɡaðrɔhts
gafāh	ɡaɸah
gafaurds	ɡaɸɔrds
gafaurs	ɡaɸɔrs
gafehaba	ɡaɸehaβa
gafeteins	ɡaɸetins
gafilh	ɡaɸɪlh
gafraþjei	ɡaɸraθji
gafreideins	ɡaɸriðins
gafrijons	ɡaɸrɪjons
gafriþons	ɡaɸrɪθons
gafulgins	ɡaɸulɡɪns
gagg	ɡaŋɡ
gaggan	ɡaŋɡan
afgaggan	aɸɡaŋɡan
afargaggan	aɸarɡaŋɡan
anagaggan	anaɣaŋɡan
atgaggan	atɡaŋɡan
duatgaggan	duatɡaŋɡan
innatgaggan	ɪnːatɡaŋɡan
faurgaggan	ɸɔrɡaŋɡan
faurbigaggan	ɸɔrbɪɣaŋɡan
fauragaggan	ɸɔraɣaŋɡan
gagaggan	ɡaɣaŋɡan
inngaggan	ɪnːɣaŋɡan
miþgaggan	mɪθɡaŋɡan
þairhgaggan	θɛrhɡaŋɡan
ufargaggan	uɸarɡaŋɡan
usgaggan	usɡaŋɡan
ūtgaggan	utɡaŋɡan
wiþragaggan	wɪθraɣaŋɡan
gagrefts	ɡaɣreɸts
gagudei	ɡaɣuði
gaguþs	ɡaɣuθs
gagudaba	ɡaɣuðaβa
gahāhjo	ɡahahjo
gahails	ɡahɛls
gahait	ɡahɛt
gahauseins	ɡahɔsins
gahlaiba	ɡahlɛβa
gahlaifs	ɡahlɛɸs
gahnipnan	ɡahnɪpnan
gahobains	ɡahoβɛns
gahraineins	ɡahrɛnins
gahugds	ɡahuɣds
gaƕairbs	ɡaʍɛrbs
gaƕeilains	ɡaʍilɛns
gaiainna	ɡɛɛnːa
gaidw	ɡɛðw
gailjan	ɡɛljan
Gainnesaraiþ	ɡɛnːesarɛθ
